route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_13:30:00_1_-__11_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_14:00:00_1_-__12_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_14:35:00_1_-__13_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_15:05:00_1_-__14_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_15:35:00_1_-__15_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_16:05:00_1_-__16_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_16:35:00_1_-__17_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_17:05:00_1_-__18_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_17:35:00_1_-__19_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_18:05:00_1_-__20_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_18:35:00_1_-__21_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_19:05:00_1_-__22_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_19:35:00_1_-__23_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_20:10:00_1_-__24_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
